INTENTS,TEXTS
tanya_deskripsi,Speknya apa
tanya_deskripsi,Cara lihat deskripsi?
tanya_deskripsi,Deskripnya gimana
tanya_deskripsi,Desk produk
tanya_deskripsi,Penjelasan produk
tanya_deskripsi,Deskripsi barang
tanya_deskripsi,Penjelasan barang
tanya_deskripsi,spek barang
tanya_deskripsi,spek produk
tanya_deskripsi,jelasin produknya dong kak
tanya_deskripsi,jelasin barangnya dong kak
tanya_deskripsi,jelasin produknya dong
tanya_deskripsi,jelasin barangnya dong
tanya_deskripsi,Kelebihan produk apa
tanya_deskripsi,apa kelebihan produk
tanya_deskripsi,Boleh jelaskan produknya? 
tanya_deskripsi,Boleh jelasin produk
tanya_deskripsi,Laptop apa ini?
tanya_deskripsi,Ini laptop apa ya?
tanya_deskripsi,Detail laptop
tanya_deskripsi,Detail produk
tanya_deskripsi,Detail barang
tanya_deskripsi,Apa deskripsi produk
register,Saya mau bikin akun
register,Saya mau bikin akun kak
register,Saya mau bikin akun min
register,Saya mau register
register,Saya mau register kak
register,Saya mau register min
register,Saya mau daftar akun
register,Bagaimana cara register?
register,Bagaimana cara daftar?
register,Cara buat akun?
register,Bagaimana daftar akun?
register,Daftarnya gimana
register,mau daftar
register,mo daftar
register,aku mau bikin akun
register,Bagaimana cara daftar akun?
register,Cara daftarnya gimana
register,Cara bikin akun gimana ya?
register,Cara daftar akun gimana ya?
register,Gimana cara daftarnya?
register,Gimana cara daftar akun?
register,Gimana cara bikin akun?
register,Gimana cara buat akun
terimakasih,Terimakasih
terimakasih,Terima kasih
terimakasih,Thank you
terimakasih,Thanks
terimakasih,Tengs
terimakasih,Tq
terimakasih,Makasih
terimakasih,Makasi
terimakasih,Makasii
terimakasih,Mksh
terimakasih,Trims
terimakasih,Ty
terimakasih,Tengkyu
terimakasih,Thx
tanya_stok,Ready?
tanya_stok,Apakah produk ready?
tanya_stok,Apakah produk masih ada?
tanya_stok,Apakah produk tersedia?
tanya_stok,Stoknya ada min?
tanya_stok,Masih ada ga?
tanya_stok,Ready gan?
tanya_stok,"Hai, barang ini ready ga?"
tanya_stok,Apakah produk masih tersedia?
tanya_stok,Barangnya ready ga?
tanya_stok,Barangnya ready ga kak?
tanya_stok,Barangnya ready ga min?
tanya_stok,Laptop ini masih tersedia?
tanya_stok,Laptopnya masih ada ga?
tanya_stok,Stok laptop ini ada?
tanya_stok,Produk ini stoknya masih berapa?
tanya_stok,Laptop ini stoknya masih berapa?
tanya_stok,Laptop ini tinggal berapa?
tanya_stok,Produk ini tinggal berapa?
tanya_stok,Produk ini tersisa berapa?
tanya_stok,Masih tersisa berapa produk ini?
tanya_stok,Laptop ini masih tersisa berapa?
tanya_stok,Stoknya masih berapa?
tanya_stok,Apakah stok masih ada?
tanya_stok,Stoknya tinggal berapa?
tanya_stok,Boleh tanya stok?
tanya_stok,Mau tanya stok dong
tanya_stok,Sisa berapa ya
tanya_stok,Tinggal berapa ya?
tanya_stok,Stoknya masih banyak ga?
tanya_stok,Stoknya masih banyak?
tanya_stok,Sisa berapa
tanya_stok,Boleh nanya stok?
tanya_stok,Tanya stok boleh?
tanya_stok,Mau nanya stok
tanya_stok,Stoknya sisa berapa
tanya_stok,Stok tinggal berapa
tanya_stok,Apakah laptopnya masih banyak?
tanya_stok,Laptopnya tinggal berapa?
tanya_stok,Produknya tinggal berapa?
tanya_stok,Produknya tersisa berapa?
login,Login
login,Log in
login,Masuk akun
login,Login?
login,Log in?
login,Saya mau login
login,Saya mau log in
login,Bagaimana cara login
login,Bagaimana cara log in
login,Mau login
login,Mau log in
login,Login bisa?
login,Bisa login?
login,Log in bisa?
login,Bisa log in?
login,Gimana cara login?
login,Gimana cara log in?
login,Cara login gimana?
login,Cara log in gimana?
login,Mo login dong
login,Mo log in dong
login,Saya sudah punya akun
login,Dah punya akun
login,Udah punya akun
login,Cara masuk akun gimana?
login,Bagaimana cara masuk akun?
login,Bisa login disini?
login,Bisa log in disini?
